buffer size, number of tokens, const latency ms, latency ns
10, 10, 0, 91449
10, 10, 0, 105966
10, 10, 0, 69240
10, 10, 0, 85067
10, 10, 0, 73097
10, 10, 0, 65609
10, 10, 0, 84375
10, 10, 0, 71293
10, 10, 0, 79093
10, 20, 0, 64052
10, 20, 0, 126995
10, 20, 0, 115860
10, 20, 0, 166477
10, 20, 0, 181093
10, 20, 0, 84190
10, 20, 0, 92290
10, 20, 0, 87508
10, 20, 0, 91763
10, 20, 0, 88883
10, 30, 0, 100278
10, 30, 0, 196369
10, 30, 0, 117655
10, 30, 0, 138097
10, 30, 0, 147420
10, 30, 0, 125102
10, 30, 0, 112435
10, 30, 0, 155431
10, 30, 0, 138804
10, 30, 0, 60311
10, 40, 0, 130475
10, 40, 0, 151659
10, 40, 0, 169816
10, 40, 0, 103629
10, 40, 0, 149886
10, 40, 0, 166469
10, 40, 0, 153314
10, 40, 0, 188568
10, 40, 0, 187612
10, 40, 0, 209241
10, 50, 0, 139580
10, 50, 0, 181332
10, 50, 0, 191269
10, 50, 0, 191042
10, 50, 0, 108475
10, 50, 0, 179631
10, 50, 0, 133369
10, 50, 0, 295102
10, 50, 0, 166448
10, 50, 0, 167004
10, 60, 0, 344395
10, 60, 0, 229788
10, 60, 0, 253574
10, 60, 0, 143968
10, 60, 0, 182993
10, 60, 0, 154998
10, 60, 0, 235961
10, 60, 0, 199873
10, 60, 0, 197932
10, 60, 0, 283886
10, 70, 0, 225953
10, 70, 0, 264423
10, 70, 0, 288800
10, 70, 0, 291343
10, 70, 0, 300291
10, 70, 0, 202997
10, 70, 0, 232508
10, 70, 0, 276199
10, 70, 0, 298399
10, 70, 0, 317576
10, 80, 0, 260303
10, 80, 0, 371227
10, 80, 0, 343986
10, 80, 0, 263643
10, 80, 0, 292187
10, 80, 0, 435710
10, 80, 0, 341398
10, 80, 0, 302402
10, 80, 0, 327477
10, 80, 0, 336856
20, 10, 0, 78420
20, 10, 0, 113163
20, 10, 0, 49917
20, 10, 0, 75538
20, 10, 0, 63442
20, 10, 0, 79672
20, 10, 0, 73893
20, 10, 0, 55273
20, 10, 0, 70044
20, 20, 0, 69312
20, 20, 0, 100483
20, 20, 0, 99238
20, 20, 0, 99502
20, 20, 0, 141991
20, 20, 0, 121052
20, 20, 0, 114336
20, 20, 0, 89839
20, 20, 0, 74302
20, 20, 0, 76739
20, 30, 0, 77964
20, 30, 0, 127433
20, 30, 0, 125570
20, 30, 0, 158579
20, 30, 0, 117520
20, 30, 0, 113264
20, 30, 0, 117127
20, 30, 0, 94071
20, 30, 0, 158963
20, 30, 0, 166937
20, 40, 0, 162077
20, 40, 0, 93543
20, 40, 0, 133570
20, 40, 0, 150720
20, 40, 0, 180159
20, 40, 0, 130801
20, 40, 0, 150419
20, 40, 0, 154011
20, 40, 0, 125838
20, 40, 0, 171258
20, 50, 0, 191764
20, 50, 0, 123396
20, 50, 0, 171602
20, 50, 0, 140002
20, 50, 0, 112675
20, 50, 0, 172393
20, 50, 0, 108127
20, 50, 0, 126506
20, 50, 0, 140202
20, 50, 0, 96651
20, 60, 0, 232213
20, 60, 0, 181667
20, 60, 0, 150798
20, 60, 0, 124908
20, 60, 0, 94238
20, 60, 0, 238324
20, 60, 0, 195250
20, 60, 0, 201262
20, 60, 0, 226784
20, 60, 0, 164899
20, 70, 0, 148440
20, 70, 0, 133625
20, 70, 0, 171791
20, 70, 0, 113994
20, 70, 0, 126279
20, 70, 0, 216920
20, 70, 0, 222819
20, 70, 0, 84522
20, 70, 0, 182852
20, 70, 0, 246177
20, 80, 0, 216626
20, 80, 0, 199021
20, 80, 0, 252740
20, 80, 0, 220894
20, 80, 0, 203658
20, 80, 0, 253534
20, 80, 0, 236869
20, 80, 0, 154619
20, 80, 0, 256903
20, 80, 0, 289333
5, 10, 0, 88991
5, 10, 0, 116143
5, 10, 0, 84975
5, 10, 0, 58117
5, 10, 0, 71329
5, 10, 0, 62158
5, 10, 0, 70986
5, 10, 0, 64372
5, 10, 0, 80793
5, 20, 0, 67842
5, 20, 0, 92973
5, 20, 0, 172354
5, 20, 0, 138788
5, 20, 0, 143240
5, 20, 0, 123173
5, 20, 0, 158706
5, 20, 0, 89780
5, 20, 0, 122393
5, 20, 0, 107796
5, 30, 0, 123835
5, 30, 0, 206583
5, 30, 0, 136116
5, 30, 0, 142445
5, 30, 0, 172730
5, 30, 0, 180389
5, 30, 0, 164680
5, 30, 0, 176073
5, 30, 0, 186219
5, 30, 0, 117114
5, 40, 0, 133422
5, 40, 0, 219550
5, 40, 0, 197013
5, 40, 0, 183691
5, 40, 0, 223574
5, 40, 0, 245324
5, 40, 0, 219336
5, 40, 0, 285038
5, 40, 0, 247368
5, 40, 0, 230851
5, 50, 0, 192861
5, 50, 0, 380819
5, 50, 0, 381945
5, 50, 0, 302866
5, 50, 0, 365349
5, 50, 0, 342244
5, 50, 0, 330800
5, 50, 0, 369899
5, 50, 0, 379340
5, 50, 0, 407478
5, 10, 10, 20893050
5, 10, 10, 20768059
5, 10, 10, 16395539
5, 10, 10, 20495127
5, 10, 10, 18319262
5, 10, 10, 16009282
5, 10, 10, 18920612
5, 10, 10, 10557668
5, 10, 10, 11825258
5, 20, 10, 20355279
5, 20, 10, 124309194
5, 20, 10, 113267023
5, 20, 10, 138538796
5, 20, 10, 140822842
5, 20, 10, 106374906
5, 20, 10, 99270701
5, 20, 10, 134292120
5, 20, 10, 132505295
5, 20, 10, 120229170
5, 30, 10, 123771875
5, 30, 10, 243005371
5, 30, 10, 207142858
5, 30, 10, 227816224
5, 30, 10, 243858572
5, 30, 10, 249718486
5, 30, 10, 215564509
5, 30, 10, 227193711
5, 30, 10, 234126071
5, 30, 10, 215613387
5, 40, 10, 207308376
5, 40, 10, 311388309
5, 40, 10, 316467249
5, 40, 10, 340659657
5, 40, 10, 354077465
5, 40, 10, 345101425
5, 40, 10, 315525867
5, 40, 10, 371017848
5, 40, 10, 348025229
5, 40, 10, 329435268
5, 50, 10, 320812648
5, 50, 10, 423681037
5, 50, 10, 448920215
5, 50, 10, 432468796
5, 50, 10, 460064253
5, 50, 10, 435970156
5, 50, 10, 436758635
5, 50, 10, 454952744
5, 50, 10, 443886563
5, 50, 10, 439904022
10, 10, 10, 10374102
10, 10, 10, 20366730
10, 10, 10, 19816964
10, 10, 10, 16670312
10, 10, 10, 10853179
10, 10, 10, 16182295
10, 10, 10, 13741966
10, 10, 10, 10245197
10, 10, 10, 9716930
10, 20, 10, 9880960
10, 20, 10, 112765520
10, 20, 10, 105523431
10, 20, 10, 123709932
10, 20, 10, 118195431
10, 20, 10, 136595177
10, 20, 10, 118223918
10, 20, 10, 136775837
10, 20, 10, 88688697
10, 20, 10, 121214957
10, 30, 10, 126209497
10, 30, 10, 214270437
10, 30, 10, 236708169
10, 30, 10, 226978974
10, 30, 10, 212735179
10, 30, 10, 254916568
10, 30, 10, 238694347
10, 30, 10, 222863715
10, 30, 10, 226704406
10, 30, 10, 224811897
10, 40, 10, 204046027
10, 40, 10, 353981238
10, 40, 10, 344012699
10, 40, 10, 353214255
10, 40, 10, 295085676
10, 40, 10, 336795619
10, 40, 10, 373229205
10, 40, 10, 336272921
10, 40, 10, 331509830
10, 40, 10, 325707063
10, 50, 10, 318210017
10, 50, 10, 451799739
10, 50, 10, 490003229
10, 50, 10, 462877652
10, 50, 10, 378200731
10, 50, 10, 443950560
10, 50, 10, 488542631
10, 50, 10, 426041586
10, 50, 10, 439565083
10, 50, 10, 481170036
20, 10, 10, 13833315
20, 10, 10, 9495272
20, 10, 10, 11464111
20, 10, 10, 15637459
20, 10, 10, 14702681
20, 10, 10, 15143619
20, 10, 10, 16466223
20, 10, 10, 18248765
20, 10, 10, 15135650
20, 20, 10, 19162420
20, 20, 10, 122684821
20, 20, 10, 133836570
20, 20, 10, 133236616
20, 20, 10, 125177011
20, 20, 10, 117056133
20, 20, 10, 113957182
20, 20, 10, 133569211
20, 20, 10, 116596756
20, 20, 10, 129772391
20, 30, 10, 121393002
20, 30, 10, 238850774
20, 30, 10, 239652603
20, 30, 10, 243598845
20, 30, 10, 253835500
20, 30, 10, 214789439
20, 30, 10, 248015246
20, 30, 10, 251219344
20, 30, 10, 182665914
20, 30, 10, 235062618
20, 40, 10, 241514401
20, 40, 10, 311101264
20, 40, 10, 365300834
20, 40, 10, 316872542
20, 40, 10, 349193786
20, 40, 10, 339374377
20, 40, 10, 355864449
20, 40, 10, 363661194
20, 40, 10, 310262145
20, 40, 10, 354001992
20, 50, 10, 323148866
20, 50, 10, 413807691
20, 50, 10, 458338316
20, 50, 10, 444662217
20, 50, 10, 430989194
20, 50, 10, 448414454
20, 50, 10, 459755283
20, 50, 10, 439937109
20, 50, 10, 411988023
20, 50, 10, 444700296
20, 10, 15, 23868338
20, 10, 15, 23388562
20, 10, 15, 26415833
20, 10, 15, 20773581
20, 10, 15, 24569313
20, 10, 15, 28002132
20, 10, 15, 29170598
20, 10, 15, 23396283
20, 10, 15, 23982587
20, 20, 15, 19632891
20, 20, 15, 170892385
20, 20, 15, 168672858
20, 20, 15, 205242759
20, 20, 15, 154748562
20, 20, 15, 145168788
20, 20, 15, 153148611
20, 20, 15, 196908156
20, 20, 15, 192166052
20, 20, 15, 166050617
20, 30, 15, 192939091
20, 30, 15, 325777423
20, 30, 15, 361657020
20, 30, 15, 291331457
20, 30, 15, 332997478
20, 30, 15, 369021503
20, 30, 15, 335252891
20, 30, 15, 334591858
20, 30, 15, 309374371
20, 30, 15, 370249705
20, 40, 15, 341707432
20, 40, 15, 476480734
20, 40, 15, 497839287
20, 40, 15, 502700494
20, 40, 15, 406184810
20, 40, 15, 505679592
20, 40, 15, 540884335
20, 40, 15, 531505871
20, 40, 15, 407655810
20, 40, 15, 510376520
20, 50, 15, 471605271
20, 50, 15, 653534960
20, 50, 15, 627852702
20, 50, 15, 683316501
20, 50, 15, 572384365
20, 50, 15, 649431728
20, 50, 15, 673355397
20, 50, 15, 709692911
20, 50, 15, 594814290
20, 50, 15, 681104976
10, 10, 15, 22582159
10, 10, 15, 15155146
10, 10, 15, 25468503
10, 10, 15, 22583352
10, 10, 15, 21875774
10, 10, 15, 12675248
10, 10, 15, 22898301
10, 10, 15, 28167537
10, 10, 15, 30680440
10, 20, 15, 13000861
10, 20, 15, 181367741
10, 20, 15, 174806821
10, 20, 15, 165551437
10, 20, 15, 187136947
10, 20, 15, 188786089
10, 20, 15, 166923073
10, 20, 15, 159176773
10, 20, 15, 175485138
10, 20, 15, 168707618
10, 30, 15, 133871402
10, 30, 15, 344288000
10, 30, 15, 348639600
10, 30, 15, 306951670
