num of nodes, num of messages, latency ns
6, 5, 100299
6, 5, 100698
6, 5, 100902
6, 5, 100863
6, 5, 0
6, 4, 14080
6, 4, 14623
6, 4, 15025
6, 4, 14950
6, 3, 4440
6, 3, 4437
6, 3, 4336
6, 2, 5634
6, 2, 4983
6, 1, 5698
6, 5, 47360
6, 5, 48408
6, 5, 49462
6, 5, 50437
6, 5, 50327
6, 4, 13671
6, 4, 14065
6, 4, 14184
6, 4, 14216
6, 3, 4676
6, 3, 4465
6, 3, 4451
6, 2, 17228
6, 2, 16751
6, 1, 8587
6, 5, 40368
6, 5, 41476
6, 5, 42691
6, 5, 43736
6, 5, 43701
6, 4, 11011
6, 4, 11461
6, 4, 12390
6, 4, 12398
6, 3, 4804
6, 3, 5048
6, 3, 5096
6, 2, 2615
6, 2, 1918
6, 1, 2360
6, 5, 8169
6, 5, 7872
6, 5, 9089
6, 5, 8946
6, 5, 43701
6, 4, 8971
6, 4, 8710
6, 4, 9687
6, 4, 9647
6, 3, 3845
6, 3, 4250
6, 3, 4074
6, 2, 2903
6, 2, 2399
6, 1, 3809
6, 5, 9020
6, 5, 8942
6, 5, 11122
6, 5, 9895
6, 5, 43701
6, 4, 2484
6, 4, 2109
6, 4, 1981
6, 4, 1036
6, 3, 2541
6, 3, 2716
6, 3, 2557
6, 2, 2586
6, 2, 1951
6, 1, 2414
6, 5, 2414
6, 5, 11458
6, 5, 12708
6, 5, 13263
6, 5, 13238
6, 4, 7311
6, 4, 7290
6, 4, 7494
6, 4, 7387
6, 3, 4815
6, 3, 4315
6, 3, 4477
6, 2, 2906
6, 2, 1735
6, 1, 2499
6, 5, 10320
6, 5, 9323
6, 5, 10320
6, 5, 10280
6, 5, 13238
6, 4, 9650
6, 4, 14852
6, 4, 14919
6, 4, 14838
6, 3, 3081
6, 3, 3174
6, 3, 3084
6, 2, 2775
6, 2, 1920
6, 1, 2609
6, 5, 38451
6, 5, 39120
6, 5, 40276
6, 5, 41217
6, 5, 41249
6, 4, 6017
6, 4, 6109
6, 4, 7221
6, 4, 7270
6, 3, 2383
6, 3, 2576
6, 3, 2500
6, 2, 2712
6, 2, 1902
6, 1, 2369
6, 5, 13016
6, 5, 12661
6, 5, 13627
6, 5, 13555
6, 5, 41249
6, 4, 11442
6, 4, 11917
6, 4, 12836
6, 4, 12829
6, 3, 2583
6, 3, 2058
6, 3, 2024
6, 2, 2789
6, 2, 1834
6, 1, 3453
6, 5, 8434
6, 5, 6948
6, 5, 7307
6, 5, 7447
6, 5, 41249
6, 4, 10435
6, 4, 9946
6, 4, 10896
6, 4, 10873
6, 3, 3419
6, 3, 2742
6, 3, 2609
6, 2, 3240
6, 2, 2162
6, 1, 2593
6, 5, 2593
6, 5, 16422
6, 5, 17648
6, 5, 18648
6, 5, 18580
6, 4, 9129
6, 4, 8497
6, 4, 9403
6, 4, 9401
6, 3, 2652
6, 3, 1846
6, 3, 1687
6, 2, 2754
6, 2, 1890
6, 1, 2918
6, 5, 2918
6, 5, 9118
6, 5, 10260
6, 5, 11166
6, 5, 11204
6, 4, 14900
6, 4, 15182
6, 4, 16135
6, 4, 16111
6, 3, 2625
6, 3, 1929
6, 3, 1869
6, 2, 2570
6, 2, 1754
6, 1, 2467
6, 5, 2467
6, 5, 7198
6, 5, 7742
6, 5, 8712
6, 5, 8558
6, 4, 11628
6, 4, 11973
6, 4, 12398
6, 4, 12268
6, 3, 2414
6, 3, 1810
6, 3, 2060
6, 2, 2827
6, 2, 1932
6, 1, 2271
6, 5, 42814
6, 5, 43784
6, 5, 44879
6, 5, 45934
6, 5, 45861
6, 4, 10778
6, 4, 10001
6, 4, 11052
6, 4, 10992
6, 3, 3062
6, 3, 2130
6, 3, 2271
6, 2, 3063
