num of nodes, num of messages, latency ns
6, 5, 43129
6, 5, 76348
6, 5, 69924
6, 5, 72223
6, 5, 51717
6, 4, 61257
6, 4, 58083
6, 4, 55814
6, 4, 34150
6, 3, 20669
6, 3, 18936
6, 3, 20451
6, 2, 19285
6, 2, 11066
6, 1, 17792
6, 5, 82490
6, 5, 55630
6, 5, 39713
6, 5, 64136
6, 5, 63081
6, 4, 54773
6, 4, 47817
6, 4, 45212
6, 4, 45690
6, 3, 22427
6, 3, 47465
6, 3, 47553
6, 2, 16972
6, 2, 15536
6, 1, 31439
6, 5, 35260
6, 5, 26457
6, 5, 29421
6, 5, 26568
6, 5, 25767
6, 4, 80261
6, 4, 58419
6, 4, 55883
6, 4, 37201
6, 3, 65626
6, 3, 31110
6, 3, 58067
6, 2, 39210
6, 2, 30783
6, 1, 17358
6, 5, 28366
6, 5, 22437
6, 5, 20448
6, 5, 18528
6, 5, 49937
6, 4, 77772
6, 4, 59170
6, 4, 63331
6, 4, 51524
6, 3, 20992
6, 3, 18063
6, 3, 19752
6, 2, 19882
6, 2, 17325
6, 1, 18414
6, 5, 23721
6, 5, 18808
6, 5, 18184
6, 5, 15922
6, 5, 10851
6, 4, 21766
6, 4, 15688
6, 4, 49500
6, 4, 47152
6, 3, 19287
6, 3, 18297
6, 3, 19712
6, 2, 42910
6, 2, 34017
6, 1, 13945
6, 5, 36033
6, 5, 11699
6, 5, 11265
6, 5, 10494
6, 5, 10271
6, 4, 24056
6, 4, 45113
6, 4, 43459
6, 4, 41168
6, 3, 107656
6, 3, 41809
6, 3, 13349
6, 2, 16137
6, 2, 15464
6, 1, 16904
6, 5, 22344
6, 5, 21344
6, 5, 22941
6, 5, 24947
6, 5, 55837
6, 4, 24251
6, 4, 16145
6, 4, 21600
6, 4, 19425
6, 3, 22050
6, 3, 19965
6, 3, 21664
6, 2, 20301
6, 2, 17779
6, 1, 16268
6, 5, 26263
6, 5, 17767
6, 5, 15955
6, 5, 20990
6, 5, 18582
6, 4, 26397
6, 4, 16908
6, 4, 48875
6, 4, 61168
6, 3, 21384
6, 3, 25620
6, 3, 27451
6, 2, 65994
6, 2, 45734
6, 1, 42334
6, 5, 22991
6, 5, 18551
6, 5, 15274
6, 5, 19787
6, 5, 17293
6, 4, 62529
6, 4, 54644
6, 4, 65142
6, 4, 64052
6, 3, 32491
6, 3, 28589
6, 3, 24117
6, 2, 19514
6, 2, 17501
6, 1, 17848
6, 5, 65238
6, 5, 35315
6, 5, 35248
6, 5, 23788
6, 5, 23003
6, 4, 36457
6, 4, 49420
6, 4, 44588
6, 4, 41908
6, 3, 21076
6, 3, 19656
6, 3, 21881
6, 2, 31821
6, 2, 24832
6, 1, 14976
6, 5, 24440
6, 5, 17156
6, 5, 22253
6, 5, 19871
6, 5, 53100
6, 4, 65207
6, 4, 57646
6, 4, 55465
6, 4, 41619
6, 3, 50440
6, 3, 45247
6, 3, 48533
6, 2, 18053
6, 2, 15822
6, 1, 18245
6, 5, 38978
6, 5, 34188
6, 5, 34109
6, 5, 35847
6, 5, 12427
6, 4, 17848
6, 4, 16378
6, 4, 15520
6, 4, 17988
6, 3, 19290
6, 3, 18141
6, 3, 19526
6, 2, 56016
6, 2, 46582
6, 1, 34888
6, 5, 22785
6, 5, 16226
6, 5, 15217
6, 5, 13740
6, 5, 67978
6, 4, 58463
6, 4, 45225
