buffer size, load %, latency ns
10, 10, 0
10, 10, 51052
10, 10, 50266
10, 10, 49722
10, 10, 49521
10, 10, 49106
10, 10, 48963
10, 10, 48351
10, 10, 34651
10, 10, 34485
10, 10, 35156
10, 10, 34948
10, 10, 34539
10, 10, 37964
10, 10, 37619
10, 10, 38077
10, 10, 35375
10, 10, 37303
10, 10, 37132
10, 10, 37375
10, 10, 36863
10, 10, 36830
10, 10, 36148
10, 10, 56119
10, 10, 56393
10, 10, 56203
10, 10, 56450
10, 10, 56776
10, 10, 56856
10, 10, 70461
10, 10, 37817
10, 10, 39406
10, 10, 39181
10, 10, 39340
10, 10, 39913
10, 10, 39853
10, 10, 39707
10, 10, 39840
10, 10, 39721
10, 10, 40075
10, 10, 36405
10, 10, 36006
10, 10, 37101
10, 10, 38045
10, 10, 37993
10, 10, 37493
10, 10, 37925
10, 10, 37432
10, 10, 38127
10, 10, 36761
10, 10, 36856
10, 10, 37282
10, 10, 36693
10, 10, 36512
10, 10, 36606
10, 10, 36362
10, 10, 36149
10, 10, 36500
10, 10, 35267
10, 10, 35895
10, 10, 36432
10, 10, 36672
10, 10, 36829
10, 10, 37173
10, 10, 89188
10, 10, 44752
10, 10, 66889
10, 10, 75060
10, 10, 59736
10, 10, 59622
10, 10, 36433
10, 10, 36650
10, 10, 36684
10, 10, 36580
10, 10, 36568
10, 10, 36001
10, 10, 36384
10, 10, 36313
10, 10, 36124
10, 10, 36233
10, 10, 35031
10, 10, 58609
10, 10, 59341
10, 10, 59894
10, 10, 75754
10, 10, 35075
10, 10, 34507
10, 10, 34621
10, 10, 35163
10, 10, 37246
10, 10, 37991
10, 10, 37447
10, 10, 37433
10, 10, 36564
10, 10, 36286
10, 10, 36320
10, 10, 36106
10, 10, 36343
10, 10, 36458
10, 10, 36450
10, 10, 37189
10, 10, 37029
10, 10, 36969
10, 10, 36652
10, 10, 36669
10, 10, 37125
10, 10, 37019
10, 10, 37518
10, 10, 36946
10, 10, 37381
10, 10, 35753
10, 10, 35862
10, 10, 36335
10, 10, 36167
10, 10, 36392
10, 10, 35748
10, 10, 36298
10, 10, 35511
10, 10, 35533
10, 10, 35221
10, 10, 35660
10, 10, 35939
10, 10, 35789
10, 10, 36091
10, 10, 36056
10, 10, 36430
10, 10, 36682
10, 10, 36450
10, 10, 36608
10, 10, 36562
10, 10, 35507
10, 10, 35800
10, 10, 35650
10, 10, 36155
10, 10, 36621
10, 10, 36867
10, 10, 36769
10, 10, 36676
10, 10, 36658
10, 10, 36929
10, 10, 35285
10, 10, 35780
10, 10, 35200
10, 10, 35076
10, 10, 35178
10, 10, 34847
10, 10, 35167
10, 10, 35580
10, 10, 35437
10, 10, 35522
10, 10, 35145
10, 10, 35499
10, 10, 36131
10, 10, 36580
10, 10, 36645
10, 10, 36498
10, 10, 36442
10, 10, 36216
10, 10, 36622
10, 10, 36597
10, 10, 36365
10, 10, 36308
10, 10, 36486
10, 10, 35863
10, 10, 36057
10, 10, 35567
10, 10, 35666
10, 10, 35637
10, 10, 36023
10, 10, 35753
10, 10, 35179
10, 10, 35554
10, 10, 35785
10, 10, 35364
10, 10, 35321
10, 10, 35487
10, 10, 36086
10, 10, 35941
10, 10, 36050
10, 10, 36240
10, 10, 39345
10, 10, 39755
10, 10, 39840
10, 10, 39922
10, 10, 40388
10, 10, 40118
10, 10, 40487
10, 10, 41471
10, 10, 67556
10, 10, 69567
10, 10, 35903
10, 10, 84024
10, 10, 87907
10, 10, 90500
10, 10, 104277
10, 10, 105065
10, 10, 118988
10, 10, 119144
10, 10, 105188
10, 10, 93605
10, 10, 35884
10, 10, 35340
10, 10, 35384
10, 10, 36854
10, 10, 38664
10, 10, 58319
10, 10, 68567
10, 10, 72270
10, 10, 71998
10, 10, 72246
10, 10, 35945
10, 10, 62042
10, 10, 63327
10, 10, 66012
10, 10, 66529
10, 10, 67310
10, 10, 81206
10, 10, 81221
10, 10, 80785
10, 10, 57219
10, 10, 81097
10, 10, 82571
10, 10, 65143
10, 10, 69305
10, 10, 69617
10, 10, 74226
10, 10, 88255
10, 10, 130976
10, 10, 114627
10, 10, 115418
10, 10, 41704
10, 10, 43813
10, 10, 43256
10, 10, 41563
10, 10, 43305
10, 10, 42539
10, 10, 44223
10, 10, 44240
