buffer size, load %, const latency ms, latency ns
10, 10, 0, 0
10, 10, 0, 141382
10, 10, 0, 104031
10, 10, 0, 79162
10, 10, 0, 94112
10, 10, 0, 90709
10, 10, 0, 129526
10, 10, 0, 126101
10, 10, 0, 85222
10, 10, 0, 84108
10, 10, 0, 72590
10, 10, 0, 95304
10, 10, 0, 100233
10, 10, 0, 89890
10, 10, 0, 90966
10, 10, 0, 104086
10, 10, 0, 93444
10, 10, 0, 84979
10, 10, 0, 77504
10, 10, 0, 137234
10, 10, 0, 103906
10, 10, 0, 57678
10, 10, 0, 120885
10, 10, 0, 81098
10, 10, 0, 79708
10, 10, 0, 64006
10, 10, 0, 79549
10, 10, 0, 93622
10, 10, 0, 92683
10, 10, 0, 93602
10, 10, 0, 86143
10, 10, 0, 62690
10, 10, 0, 79786
10, 10, 0, 75707
10, 10, 0, 69060
10, 10, 0, 61099
10, 10, 0, 86494
10, 10, 0, 69355
10, 10, 0, 67385
10, 10, 0, 77653
10, 10, 0, 95705
10, 10, 0, 93308
10, 10, 0, 77470
10, 10, 0, 87811
10, 10, 0, 65762
10, 10, 0, 94114
10, 10, 0, 87335
10, 10, 0, 99170
10, 10, 0, 90903
10, 10, 0, 61807
10, 10, 0, 76674
10, 10, 0, 94593
10, 10, 0, 89531
10, 10, 0, 88943
10, 10, 0, 80708
10, 10, 0, 73298
10, 10, 0, 71813
10, 10, 0, 86312
10, 10, 0, 80010
10, 10, 0, 67563
10, 10, 0, 109104
10, 10, 0, 101650
10, 10, 0, 100689
10, 10, 0, 69966
10, 10, 0, 80605
10, 10, 0, 87730
10, 10, 0, 112073
10, 10, 0, 68741
10, 10, 0, 70673
10, 10, 0, 71287
10, 10, 0, 74999
10, 10, 0, 61026
10, 10, 0, 98688
10, 10, 0, 70109
10, 10, 0, 63842
10, 10, 0, 89222
10, 10, 0, 89516
10, 10, 0, 67830
10, 10, 0, 73590
10, 10, 0, 90811
10, 10, 0, 80217
10, 10, 0, 71235
10, 10, 0, 80878
10, 10, 0, 102667
10, 10, 0, 74316
10, 10, 0, 67043
10, 10, 0, 80103
10, 10, 0, 92467
10, 10, 0, 76354
10, 10, 0, 104617
10, 10, 0, 81706
10, 10, 0, 85072
10, 10, 0, 78523
10, 10, 0, 83093
10, 10, 0, 106994
10, 10, 0, 69819
10, 10, 0, 73202
10, 10, 0, 92947
10, 10, 0, 59249
10, 10, 0, 82347
10, 50, 0, 0
10, 50, 0, 173978
10, 50, 0, 215089
10, 50, 0, 167002
10, 50, 0, 178247
10, 50, 0, 144562
10, 50, 0, 116506
10, 50, 0, 171375
10, 50, 0, 243118
10, 50, 0, 205577
10, 50, 0, 194842
10, 50, 0, 280930
10, 50, 0, 153480
10, 50, 0, 220273
10, 50, 0, 170540
10, 50, 0, 131696
10, 50, 0, 214716
10, 50, 0, 186750
10, 50, 0, 147814
10, 50, 0, 149199
10, 50, 0, 221171
10, 50, 0, 255700
10, 50, 0, 144875
10, 50, 0, 170869
10, 50, 0, 205517
10, 50, 0, 140233
10, 50, 0, 189043
10, 50, 0, 238719
10, 50, 0, 171913
10, 50, 0, 157980
10, 50, 0, 129480
10, 50, 0, 195782
10, 50, 0, 172112
10, 50, 0, 214889
10, 50, 0, 139451
10, 50, 0, 247372
10, 50, 0, 212283
10, 50, 0, 191135
10, 50, 0, 184051
10, 50, 0, 188321
10, 50, 0, 160430
10, 50, 0, 142937
10, 50, 0, 268641
10, 50, 0, 164490
10, 50, 0, 228722
10, 50, 0, 229154
10, 50, 0, 137426
10, 50, 0, 134212
10, 50, 0, 168493
10, 50, 0, 178513
10, 50, 0, 236729
10, 50, 0, 189029
10, 50, 0, 182211
10, 50, 0, 160738
10, 50, 0, 305635
10, 50, 0, 180886
10, 50, 0, 169938
10, 50, 0, 190816
10, 50, 0, 229701
10, 50, 0, 146517
10, 50, 0, 177809
10, 50, 0, 114821
10, 50, 0, 161325
10, 50, 0, 162737
10, 50, 0, 215794
10, 50, 0, 235948
10, 50, 0, 162142
10, 50, 0, 229906
10, 50, 0, 194813
10, 50, 0, 202760
10, 50, 0, 176820
10, 50, 0, 172416
10, 50, 0, 147526
10, 50, 0, 127861
10, 50, 0, 170234
10, 50, 0, 176773
10, 50, 0, 166800
10, 50, 0, 203242
10, 50, 0, 180574
10, 50, 0, 172953
10, 50, 0, 198447
10, 50, 0, 319636
10, 50, 0, 207033
10, 50, 0, 188572
10, 50, 0, 173100
10, 50, 0, 167423
10, 50, 0, 254240
10, 50, 0, 246630
10, 50, 0, 246350
