num of nodes, number of node, num of msg, latency ns
16, 0, 15, 0
16, 1, 15, 89951381
16, 2, 15, 90305762
16, 3, 15, 90335837
16, 4, 15, 90330271
16, 5, 15, 90327847
16, 6, 15, 90314609
16, 7, 15, 90301073
16, 8, 15, 93296077
16, 9, 15, 90346619
16, 10, 15, 90338884
16, 11, 15, 90301125
16, 12, 15, 100303097
16, 13, 15, 93320132
16, 14, 15, 91074844
16, 15, 15, 0
16, 0, 15, 0
16, 1, 15, 227046949
16, 2, 15, 227037711
16, 3, 15, 227037547
16, 4, 15, 229680539
16, 5, 15, 235155766
16, 6, 15, 235156295
16, 7, 15, 235156061
16, 8, 15, 235156039
16, 9, 15, 239698213
16, 10, 15, 238448101
16, 11, 15, 238448178
16, 12, 15, 238448266
16, 13, 15, 238448307
16, 14, 15, 239689689
16, 15, 15, 239742748
16, 0, 15, 0
16, 1, 15, 227046949
16, 2, 15, 46555718
16, 3, 15, 46555488
16, 4, 15, 46555490
16, 5, 15, 52891422
16, 6, 15, 54611930
16, 7, 15, 56218331
16, 8, 15, 56218440
16, 9, 15, 56672960
16, 10, 15, 56672929
16, 11, 15, 56672806
16, 12, 15, 56672838
16, 13, 15, 56672694
16, 14, 15, 239689689
16, 15, 15, 239742748
16, 0, 15, 0
16, 1, 15, 189528101
16, 2, 15, 189527406
16, 3, 15, 195039551
16, 4, 15, 195135681
16, 5, 15, 195643875
16, 6, 15, 195846182
16, 7, 15, 195846433
16, 8, 15, 195846947
16, 9, 15, 196581698
16, 10, 15, 197797658
16, 11, 15, 197797651
16, 12, 15, 197797795
16, 13, 15, 205354879
16, 14, 15, 205694115
16, 15, 15, 205694128
16, 0, 15, 0
16, 1, 15, 174990072
16, 2, 15, 174989088
16, 3, 15, 174988890
16, 4, 15, 175376039
16, 5, 15, 174994274
16, 6, 15, 174994155
16, 7, 15, 174994238
16, 8, 15, 174994125
16, 9, 15, 174995344
16, 10, 15, 175265077
16, 11, 15, 175797583
16, 12, 15, 181023887
16, 13, 15, 181023943
16, 14, 15, 184990713
16, 15, 15, 185012805
16, 0, 15, 0
16, 1, 15, 174990072
16, 2, 15, 84997474
16, 3, 15, 83822161
16, 4, 15, 83823710
16, 5, 15, 83823570
16, 6, 15, 83823671
16, 7, 15, 83823693
16, 8, 15, 83823609
16, 9, 15, 83823687
16, 10, 15, 93700281
16, 11, 15, 93696601
16, 12, 15, 103697814
16, 13, 15, 95140577
16, 14, 15, 95140473
16, 15, 15, 95140387
16, 0, 15, 0
16, 1, 15, 148092679
16, 2, 15, 151936795
16, 3, 15, 151936553
16, 4, 15, 151936686
16, 5, 15, 151936688
16, 6, 15, 151936572
16, 7, 15, 153329431
16, 8, 15, 153329240
16, 9, 15, 153329351
16, 10, 15, 153329230
16, 11, 15, 154957767
16, 12, 15, 156844804
16, 13, 15, 156844644
16, 14, 15, 161751741
16, 15, 15, 161751689
16, 0, 15, 0
16, 1, 15, 303529358
16, 2, 15, 303528611
16, 3, 15, 307804080
16, 4, 15, 307803991
16, 5, 15, 307807360
16, 6, 15, 307807508
16, 7, 15, 314853398
16, 8, 15, 314853205
16, 9, 15, 316913351
16, 10, 15, 316921713
16, 11, 15, 317809551
16, 12, 15, 324859767
16, 13, 15, 324859641
16, 14, 15, 326353412
16, 15, 15, 326347993
16, 0, 15, 0
16, 1, 15, 134563905
16, 2, 15, 134563151
16, 3, 15, 134563089
16, 4, 15, 140044678
16, 5, 15, 139136154
16, 6, 15, 139136162
16, 7, 15, 139136173
16, 8, 15, 139136206
16, 9, 15, 139136165
16, 10, 15, 139136187
16, 11, 15, 139136181
16, 12, 15, 140875034
16, 13, 15, 140874862
16, 14, 15, 140879362
16, 15, 15, 140879158
16, 0, 15, 0
16, 1, 15, 134563905
16, 2, 15, 80531798
16, 3, 15, 80531686
16, 4, 15, 80531771
16, 5, 15, 80531594
16, 6, 15, 87184029
16, 7, 15, 85495573
16, 8, 15, 85495357
16, 9, 15, 85495273
16, 10, 15, 85495331
16, 11, 15, 85495400
16, 12, 15, 87394756
16, 13, 15, 87394680
16, 14, 15, 87394907
16, 15, 15, 92320703
12, 0, 11, 0
12, 1, 11, 4833
12, 2, 11, 149448
12, 3, 11, 157869
12, 4, 11, 158817
12, 5, 11, 159498
12, 6, 11, 150419
12, 7, 11, 150996
12, 8, 11, 151188
12, 9, 11, 0
12, 10, 11, 151067
12, 11, 11, 174483
12, 12, 11, 0
12, 13, 11, 0
12, 14, 11, 0
12, 15, 11, 0
12, 0, 11, 0
12, 1, 11, 10089336
12, 2, 11, 10088381
12, 3, 11, 10088304
12, 4, 11, 10088161
12, 5, 11, 10088115
12, 6, 11, 10088074
12, 7, 11, 10088151
12, 8, 11, 10088137
12, 9, 11, 10088126
12, 10, 11, 10088027
12, 11, 11, 10087963
12, 12, 11, 0
12, 13, 11, 0
12, 14, 11, 0
12, 15, 11, 0
12, 0, 11, 0
12, 1, 11, 170429
12, 2, 11, 170155
12, 3, 11, 170262
12, 4, 11, 170089
12, 5, 11, 170059
12, 6, 11, 170003
12, 7, 11, 170013
12, 8, 11, 170112
12, 9, 11, 170063
12, 10, 11, 10088027
12, 11, 11, 169543
12, 12, 11, 0
12, 13, 11, 0
12, 14, 11, 0
12, 15, 11, 0
12, 0, 11, 0
12, 1, 11, 170429
12, 2, 11, 371618
12, 3, 11, 371438
12, 4, 11, 371375
12, 5, 11, 371277
12, 6, 11, 371259
12, 7, 11, 371127
12, 8, 11, 371284
12, 9, 11, 371229
12, 10, 11, 371034
12, 11, 11, 371029
12, 12, 11, 0
12, 13, 11, 0
12, 14, 11, 0
12, 15, 11, 0
12, 0, 11, 0
12, 1, 11, 79170
12, 2, 11, 78402
12, 3, 11, 78229
12, 4, 11, 78200
12, 5, 11, 78321
12, 6, 11, 78299
12, 7, 11, 78135
12, 8, 11, 78215
12, 9, 11, 78108
12, 10, 11, 371034
12, 11, 11, 371029
12, 12, 11, 0
12, 13, 11, 0
12, 14, 11, 0
12, 15, 11, 0
12, 0, 11, 0
12, 1, 11, 1277157
12, 2, 11, 1276429
12, 3, 11, 1276250
12, 4, 11, 1276310
12, 5, 11, 1276216
12, 6, 11, 1276163
12, 7, 11, 1276111
12, 8, 11, 1276119
12, 9, 11, 1276060
12, 10, 11, 1276043
12, 11, 11, 1275998
12, 12, 11, 0
12, 13, 11, 0
12, 14, 11, 0
12, 15, 11, 0
12, 0, 11, 0
12, 1, 11, 12903
12, 2, 11, 12361
12, 3, 11, 12264
12, 4, 11, 12228
12, 5, 11, 12288
12, 6, 11, 12237
12, 7, 11, 12164
12, 8, 11, 12147
12, 9, 11, 12086
12, 10, 11, 1276043
12, 11, 11, 1275998
12, 12, 11, 0
12, 13, 11, 0
12, 14, 11, 0
12, 15, 11, 0
